parameter,value,unit,source,interpretation
phantom_type,29672,,PTW RW3 manual D188.131.00/03,30x30 cm slab phantom
chamber_plate,29672/U19,,PTW RW3 manual Table 1,plate specified for PTW 30001/30002/30004/30006/30010/30011/30012/30013
plate_thickness,20.0,mm,PTW RW3 manual Figure 5,additional chamber plate nominal thickness
H1,7.0,mm,PTW RW3 manual Table 1,distance from one plate face to chamber axis
H2,13.0,mm,PTW RW3 manual Table 1,distance from opposite plate face to chamber axis
overlying_RW3_slabs,13.0,mm,user actual setup,additional RW3 thickness placed above the U19 plate
clinical_U19_source_side,H1,,user actual setup + PTW U19 geometry,the chamber axis is 7 mm below the upper U19 face
chamber_axis_depth,20.0,mm,derived from user setup,13 mm overlying slabs + 7 mm U19 H1 = 20 mm physical depth
slab_thickness_tolerance,0.1,mm,PTW RW3 manual Technical Specifications,per slab nominal tolerance
rw3_density,1.045,g/cm3,PTW RW3 manual Technical Specifications,manufacturer value
electron_density_rel_water,1.012,,PTW RW3 manual Technical Specifications,manufacturer value
mean_Z_over_A,0.536,,PTW RW3 manual Technical Specifications,manufacturer value
TiO2_mass_fraction,2.0,percent,PTW RW3 manual Technical Specifications,nominal
TiO2_mass_fraction_tolerance,0.4,percentage points,PTW RW3 manual Technical Specifications,manufacturer tolerance
