beam_id,mode,kvp,emin_keV,published_hvl_cu_mm,calculated_hvl_cu_mm,hvl_error_percent,published_kerma_mean_keV,calculated_kerma_mean_keV,kerma_mean_error_percent,fluence_mean_keV,nbins
CCRI100,kqp,100,10,0.146100,0.147473,+0.9398,44.500000,44.238444,-0.5878,50.352628,180
CCRI100,spekcalc,100,10,0.146100,0.147456,+0.9281,44.500000,44.466789,-0.0746,50.669507,180
CCRI100,spekpy_v1,100,10,0.146100,0.154988,+6.0835,44.500000,45.257489,+1.7022,51.325616,180
CCRI135,kqp,135,13.5,0.470800,0.456034,-3.1364,66.800000,65.851993,-1.4192,66.245034,243
CCRI135,spekcalc,135,13.5,0.470800,0.467274,-0.7489,66.800000,66.976417,+0.2641,67.111763,243
CCRI135,spekpy_v1,135,13.5,0.470800,0.475897,+1.0826,66.800000,67.391918,+0.8861,67.541448,243
CCRI180,kqp,180,18,0.986300,0.928725,-5.8375,91.600000,89.354209,-2.4517,82.622555,324
CCRI180,spekcalc,180,18,0.986300,0.972184,-1.4312,91.600000,91.808620,+0.2278,84.174063,324
CCRI180,spekpy_v1,180,18,0.986300,1.017345,+3.1476,91.600000,93.172470,+1.7167,85.515428,324
CCRI250,kqp,250,25,2.515000,2.336931,-7.0803,141.100000,135.961182,-3.6420,119.329757,450
CCRI250,spekcalc,250,25,2.515000,2.469911,-1.7928,141.100000,141.076031,-0.0170,122.747286,450
CCRI250,spekpy_v1,250,25,2.515000,2.515547,+0.0218,141.100000,141.756817,+0.4655,123.934996,450
