config,Dw_per_history,u_Dw_pct,Dcav_water_per_history,u_Dcav_pct,R_Qg,u_R_Qg_abs
Q120_F40_4x15,2.5630e-16,0.082,2.4404e-16,0.401,1.05025,0.00429
Q120_F40_6x8,2.6532e-16,0.072,2.5417e-16,0.352,1.04389,0.00374
Q120_F50_8x10,1.8398e-16,0.090,1.7568e-16,0.440,1.04726,0.00469
Q140_F40_4x15,2.4988e-16,0.081,2.3537e-16,0.405,1.06164,0.00438
Q140_F40_6x8,2.5867e-16,0.072,2.4577e-16,0.356,1.05251,0.00381
Q140_F50_8x10,1.8007e-16,0.090,1.6997e-16,0.439,1.05942,0.00474
Q150_F40_4x15,2.4832e-16,0.080,2.2985e-16,0.407,1.08036,0.00448
Q150_F40_6x8,2.5630e-16,0.071,2.3992e-16,0.357,1.06825,0.00388
Q150_F50_8x10,1.7916e-16,0.089,1.6724e-16,0.441,1.07130,0.00481
Q200_F40_4x15,2.8350e-16,0.077,2.6004e-16,0.393,1.09022,0.00435
Q200_F40_6x8,2.9134e-16,0.068,2.6721e-16,0.347,1.09033,0.00384
Q200_F50_8x10,2.0208e-16,0.085,1.8621e-16,0.428,1.08520,0.00472
