config,beam,applicator,ssd_cm,field_cm,R_Qg,u_R_Qg_abs,u_R_Qg_pct,k_Qg_Co,u_k_Qg_Co,k_g_vs_F50,u_k_g_abs,point_gate
Q120_F40_4x15,Q120,F40,40,4x15,1.05025000,0.00429000,0.4085,0.93758361,0.00392835,1.00285507,0.00607872,true
Q120_F40_6x8,Q120,F40,40,6x8,1.04389000,0.00374000,0.3583,0.93190589,0.00345006,0.99678208,0.00571668,true
Q120_F50_8x10,Q120,F50,50,8x10,1.04726000,0.00469000,0.4478,0.93491437,0.00427671,1.00000000,0.00000000,true
Q140_F40_4x15,Q140,F40,40,4x15,1.06164000,0.00438000,0.4126,0.94775174,0.00400880,1.00209549,0.00609875,true
Q140_F40_6x8,Q140,F40,40,6x8,1.05251000,0.00381000,0.3620,0.93960117,0.00351236,0.99347756,0.00571762,true
Q140_F50_8x10,Q140,F50,50,8x10,1.05942000,0.00474000,0.4474,0.94576990,0.00432247,1.00000000,0.00000000,true
Q150_F40_4x15,Q150,F40,40,4x15,1.08036000,0.00448000,0.4147,0.96446354,0.00409931,1.00845701,0.00616353,true
Q150_F40_6x8,Q150,F40,40,6x8,1.06825000,0.00388000,0.3632,0.95365265,0.00357614,0.99715299,0.00575861,true
Q150_F50_8x10,Q150,F50,50,8x10,1.07130000,0.00481000,0.4490,0.95637546,0.00438567,1.00000000,0.00000000,true
Q200_F40_4x15,Q200,F40,40,4x15,1.09022000,0.00435000,0.3990,0.97326580,0.00398803,1.00462588,0.00592966,true
Q200_F40_6x8,Q200,F40,40,6x8,1.09033000,0.00384000,0.3522,0.97336400,0.00354623,1.00472724,0.00562298,true
Q200_F50_8x10,Q200,F50,50,8x10,1.08520000,0.00472000,0.4349,0.96878433,0.00430944,1.00000000,0.00000000,true
