config,beam,applicator,ssd_cm,field_cm,Dw_water_per_history,u_Dw_water_pct,D_RW3_per_history,u_D_RW3_pct,Dcav_water_per_history,u_Dcav_water_pct,Dcav_RW3_per_history,u_Dcav_RW3_pct,R_RW3,u_R_RW3_abs,Dw_over_Drw3,u_Dw_over_Drw3_abs,k_RW3_to_water,u_k_RW3_to_water_abs,R_direct_RW3_to_water,u_R_direct_abs,u_R_direct_pct,k_Qg_Co_direct_RW3_to_water,u_k_Qg_Co_direct_abs,direct_consistency_pct,point_gate
Q120_F40_4x15,Q120,F40,40,4x15,2.563e-16,0.082,2.258e-16,0.084,2.4404e-16,0.4010000000000001,2.5289e-16,0.395,0.89289,0.0036,1.1350752878653676,0.0013324449567509375,0.9650045474316897,0.005431749925149494,1.0134841235319705,0.004088614025839823,0.4034216156826504,0.90476182629448,0.0037462763131888605,0.0013073959255871515,true
Q120_F40_6x8,Q120,F40,40,6x8,2.6532e-16,0.072,2.3373e-16,0.074,2.5417e-16,0.352,2.625e-16,0.347,0.89038,0.00315,1.1351559491721217,0.0011720175957940892,0.9682666666666667,0.004785951238191862,1.0107428571428572,0.003581981991499393,0.35439102697444247,0.9023146313883275,0.0033066041792375427,-0.0022461814914609413,true
Q120_F50_8x10,Q120,F50,50,8x10,1.8398e-16,0.09,1.6267e-16,0.092,1.7568e-16,0.44,1.844e-16,0.42899999999999994,0.88214,0.00386,1.131001413905453,0.0014556124408617358,0.9527114967462039,0.005854650514325074,0.9977223427331888,0.004373405241735645,0.43833890997720015,0.8906909027841433,0.003991641670237462,-0.0020802852400469973,true
Q140_F40_4x15,Q140,F40,40,4x15,2.4988e-16,0.081,2.237e-16,0.082,2.3537e-16,0.4050000000000001,2.4059e-16,0.4010000000000001,0.92978,0.0038,1.1170317389360749,0.0012874971979941346,0.9783033376283305,0.00557569394930923,1.0386134087036036,0.004248957172949746,0.40909901002080173,0.9271953478637445,0.0038904708879657006,-0.0018908359410096942,true
Q140_F40_6x8,Q140,F40,40,6x8,2.5867e-16,0.072,2.3119e-16,0.073,2.4577e-16,0.356,2.5044e-16,0.351,0.92316,0.0033,1.1188632726328993,0.0011472032014943308,0.9813528190384924,0.004906145803961665,1.032862162593835,0.0037008331932224282,0.35830852627309884,0.9220610711514373,0.0034139112611859938,0.00267762446470865,true
Q140_F50_8x10,Q140,F50,50,8x10,1.8007e-16,0.09,1.6158e-16,0.091,1.6997e-16,0.439,1.775e-16,0.432,0.91029,0.00401,1.114432479267236,0.0014263429699270687,0.9575774647887324,0.005897814367571774,1.0144788732394368,0.004476645951273486,0.4412754241967255,0.9056498634537564,0.004084696427023209,-0.0021815818789572283,true
Q150_F40_4x15,Q150,F40,40,4x15,2.4832e-16,0.08,2.2705e-16,0.08,2.2985e-16,0.407,2.3381e-16,0.4030000000000001,0.97106,0.00398,1.0936798062100859,0.0012373574518687056,0.9830631709507719,0.005630626794022657,1.0620589367435098,0.004363614902467613,0.41086372436612134,0.9481257386565459,0.0039946087691080405,-0.002845804888795822,true
Q150_F40_6x8,Q150,F40,40,6x8,2.563e-16,0.071,2.3427e-16,0.071,2.3992e-16,0.357,2.4075e-16,0.355,0.97307,0.00352,1.0940367951508942,0.001098513188140689,0.9965524402907581,0.005017262990997351,1.064589823468328,0.0038541386415244846,0.3620303854650877,0.9503851225404403,0.0035530229852278237,-0.001450249711865137,true
Q150_F50_8x10,Q150,F50,50,8x10,1.7916e-16,0.089,1.6377e-16,0.089,1.6724e-16,0.441,1.7134e-16,0.438,0.95578,0.00426,1.0939732551749406,0.0013769295147642408,0.9760709700011674,0.00606677380555685,1.0456402474611883,0.004673497245032547,0.44695078028794183,0.9334683770309238,0.004262011225024272,-0.00406350369420716,true
Q200_F40_4x15,Q200,F40,40,4x15,2.835e-16,0.077,2.6542e-16,0.076,2.6004e-16,0.393,2.6158e-16,0.391,1.01466,0.00403,1.0681184537713813,0.0011555935985983108,0.994112699747687,0.005511097569252624,1.0837984555394145,0.004319042232219847,0.3985097238462319,0.9675331336732528,0.003959900101642114,-0.0019731745912410226,true
Q200_F40_6x8,Q200,F40,40,6x8,2.9134e-16,0.068,2.7277e-16,0.067,2.6721e-16,0.347,2.7055e-16,0.345,1.00819,0.00353,1.0680793342376362,0.0010196102608098397,0.9876547773054889,0.004832791726563179,1.0768434670116431,0.0037865864966094846,0.35163759753473467,0.961324246946627,0.0034972583431291276,-0.0015381090295973898,true
Q200_F50_8x10,Q200,F50,50,8x10,2.0208e-16,0.085,1.8946e-16,0.085,1.8621e-16,0.428,1.8814e-16,0.426,1.00702,0.00436,1.066610366304233,0.0012821526189259042,0.9897416817263739,0.005976761477729099,1.0740937599659828,0.004665834116620969,0.43439728360108326,0.9588695168619203,0.004260224653367248,0.00039206164890170925,true
