beam,medium,depth_cm,p95_rel_u_active_bins_pct,passes_5pct,recommended_histories,history_multiplier_vs_50M,integrated_fluence_cm-2,mean_energy_MeV
Q200,water,2.0,6.096998683477044,False,86000000,1.72,0.000446880585121,0.08309449924803528
Q200,rw3,2.0,6.0309732936628135,False,84000000,1.68,0.00045229127050500003,0.08265036583866424
Q120,water,2.0,5.701033009585728,False,75000000,1.5,0.00041602218002,0.053673560619067306
Q150,rw3,2.0,5.497768756678018,False,70000000,1.4,0.00045200391888,0.0668881435860882
Q200,water,1.0,5.497130798563548,False,70000000,1.4,0.000488581297451,0.0844764051760963
Q140,rw3,2.0,5.475668198391872,False,69000000,1.38,0.00044321176352700003,0.05942239478393514
Q200,rw3,1.0,5.439494280553882,False,69000000,1.38,0.000491892570008,0.08421963195954403
Q120,rw3,2.0,5.192720778123718,False,63000000,1.26,0.000429401139288,0.053071603314958554
Q150,water,2.0,5.121517396548055,False,61000000,1.22,0.000445822126325,0.06729598534475452
Q120,water,1.0,5.117538658761317,False,61000000,1.22,0.00047504064634,0.053644678493407934
Q140,water,2.0,5.021390090873949,False,58000000,1.16,0.00043303923754,0.05994899485507255
Q150,water,1.0,4.967136285668003,True,57000000,1.14,0.00049364769653,0.0680575108426203
Q140,rw3,1.0,4.938848619683269,True,57000000,1.14,0.0004924909730700001,0.059875054371207215
Q200,water,0.001,4.926633105954544,True,56000000,1.12,0.000489346029156,0.08711810963817095
Q200,rw3,0.001,4.920659919293011,True,56000000,1.12,0.00049342379652,0.08684788880072394
Q120,rw3,1.0,4.847596145568494,True,55000000,1.1,0.00048636451374,0.053187316216903736
Q150,rw3,1.0,4.784005922486098,True,53000000,1.06,0.000498664955041,0.06775329956766588
Q120,water,0.001,4.50832838635332,True,50000000,1.0,0.00049811703418,0.05396807653194158
Q150,rw3,0.001,4.417764191640717,True,50000000,1.0,0.000503021100863,0.0694872801047053
Q140,water,1.0,4.376303576558628,True,50000000,1.0,0.00048576484938,0.060286986183001774
Q120,rw3,0.001,4.259249086979791,True,50000000,1.0,0.000504777385239,0.05371884430422868
Q140,rw3,0.001,4.240915933481369,True,50000000,1.0,0.0005041486836900001,0.06097076262639998
Q150,water,0.001,4.1169043498518985,True,50000000,1.0,0.000500681681495,0.06965828404329547
Q140,water,0.001,3.996777014072137,True,50000000,1.0,0.000499392244681,0.06120263426188795
