variant,family,beam,geometry,source_model,spectrum_mode,actual_kvp,be_mm,anode_angle_deg,residual_equivalent_al_mm,final_hvl1_cu_mm,hvl_rel_error_pct,Dw_water_per_history,u_Dw_water_pct,Dcav_RW3_per_history,u_Dcav_RW3_pct,R_direct_RW3_to_water,u_R_direct_pct,R_Co,K_Qg_Co_RW3_to_water,u_K_pct,K_nominal_stage8s3b_finite,delta_K_vs_nominal_finite_pct,u_variant_to_nominal_ratio_pct,precision_gate
be0p7_a20_hvlfit,be_window,Q120,F50_8x10_SSD50,finite_7p5mm,hvl_refit,120.0,0.7,20.0,0.4293219681652242,0.22400000000018014,8.042455590384634e-11,1.8404e-16,0.09,1.848e-16,0.429,0.9958874458874459,0.43833890997720015,1.12016676,0.8890528459239818,0.4481583313963939,0.888856057195507,0.022139549692190563,0.6212905922352276,true
be0p7_a20_hvlfit,be_window,Q140,F50_8x10_SSD50,finite_7p5mm,hvl_refit,140.0,0.7,20.0,0.49838756017365116,0.4100000000001747,4.263256414560601e-11,1.8027e-16,0.09,1.7681e-16,0.433,1.0195690289010801,0.4422544516452039,1.12016676,0.9101939687096947,0.45198881623332227,0.9167405140228068,-0.7141110502888903,0.6254422435365234,true
be0p7_a20_hvlfit,be_window,Q150,F50_8x10_SSD50,finite_7p5mm,hvl_refit,150.0,0.7,20.0,0.2146743455999388,0.7290000000035595,4.882760862301438e-10,1.7929e-16,0.088,1.7074e-16,0.437,1.0500761391589553,0.44577236343227916,1.12016676,0.9374284049983372,0.45543154260547214,0.9432627209279779,-0.6185250196149905,0.631110925273838,true
be0p7_a20_hvlfit,be_window,Q200,F50_8x10_SSD50,finite_7p5mm,hvl_refit,200.0,0.7,20.0,0.0,1.4550242122410089,0.20827907995928374,2.0217e-16,0.085,1.8764e-16,0.426,1.0774355148156043,0.4343972836010833,1.12016676,0.9618527823621585,0.4443038262270538,0.9574637654570874,0.45840031376809254,0.6136375151504347,true
be0p9_a20_hvlfit,be_window,Q120,F50_8x10_SSD50,finite_7p5mm,hvl_refit,120.0,0.9,20.0,0.42420190910029826,0.2240000000002152,9.605649609056854e-11,1.8388e-16,0.091,1.8245e-16,0.43,1.007837763770896,0.43952360573693877,1.12016676,0.8997211841662718,0.4493171374430314,0.888856057195507,1.2223719333191108,0.6221269966815457,true
be0p9_a20_hvlfit,be_window,Q140,F50_8x10_SSD50,finite_7p5mm,hvl_refit,140.0,0.9,20.0,0.4907436842575704,0.4100000000314523,7.671308033252444e-09,1.8041e-16,0.09,1.7546e-16,0.433,1.028211558189901,0.4422544516452039,1.12016676,0.9179093639503291,0.45198881623332227,0.9167405140228068,0.12750062963762243,0.6254422435365234,true
be0p9_a20_hvlfit,be_window,Q150,F50_8x10_SSD50,finite_7p5mm,hvl_refit,150.0,0.9,20.0,0.20055563946524305,0.7290000000062321,8.54893933421863e-10,1.7932e-16,0.089,1.6972e-16,0.437,1.0565637520622202,0.44597085106540313,1.12016676,0.9432200541839146,0.4556258223586543,0.9432627209279779,-0.004523314991322636,0.6312511386128344,true
be0p9_a20_hvlfit,be_window,Q200,F50_8x10_SSD50,finite_7p5mm,hvl_refit,200.0,0.9,20.0,0.0,1.4556156613981956,0.24901249298867612,2.0235e-16,0.085,1.8745e-16,0.426,1.079487863430248,0.4343972836010833,1.12016676,0.9636849636836644,0.4443038262270538,0.9574637654570874,0.6497580849555096,0.6136375151504347,true
kvp_low_fixedfiltration,kvp_accuracy,Q120,F50_8x10_SSD50,finite_7p5mm,fixed_nominal_filtration,119.7,0.8,20.0,0.4267618788318781,0.22334558814550878,-0.2921481493264433,1.8437e-16,0.091,1.8374e-16,0.429,1.0034287580276477,0.438545322629258,1.12016676,0.8957851579417048,0.4483602234810755,0.888856057195507,0.7795526272341924,0.6214362396899621,true
kvp_low_fixedfiltration,kvp_accuracy,Q140,F50_8x10_SSD50,finite_7p5mm,fixed_nominal_filtration,139.65,0.8,20.0,0.4945653569835012,0.40898931529950466,-0.2465084635354442,1.8028e-16,0.09,1.7397e-16,0.434,1.0362706213715007,0.4432335727356401,1.12016676,0.9251038848639829,0.4529468953420478,0.9167405140228068,0.9122942330187067,0.6261349694754318,true
kvp_low_fixedfiltration,kvp_accuracy,Q150,F50_8x10_SSD50,finite_7p5mm,fixed_nominal_filtration,149.625,0.8,20.0,0.20761471163921214,0.7272739763141924,-0.23676593769650367,1.7942e-16,0.089,1.7069e-16,0.437,1.0511453512215128,0.44597085106540313,1.12016676,0.9383829165056752,0.4556258223586543,0.9432627209279779,-0.5173324794922496,0.6312511386128344,true
kvp_low_fixedfiltration,kvp_accuracy,Q200,F50_8x10_SSD50,finite_7p5mm,fixed_nominal_filtration,199.5,0.8,20.0,0.0,1.4508054682933582,-0.08226802387339971,2.0236e-16,0.085,1.8739e-16,0.426,1.079886866961951,0.4343972836010833,1.12016676,0.9640411638013174,0.4443038262270538,0.9574637654570874,0.6869605494773001,0.6136375151504347,true
kvp_high_fixedfiltration,kvp_accuracy,Q120,F50_8x10_SSD50,finite_7p5mm,fixed_nominal_filtration,120.3,0.8,20.0,0.4267618788318781,0.2249481694278078,0.42328992312847813,1.8418e-16,0.098,1.8517e-16,0.429,0.9946535615920504,0.4400511333924729,1.12016676,0.8879513275256002,0.4498331801901678,0.888856057195507,-0.10178584739145569,0.6224997991967547,true
kvp_high_fixedfiltration,kvp_accuracy,Q140,F50_8x10_SSD50,finite_7p5mm,fixed_nominal_filtration,140.35,0.8,20.0,0.4945653569835012,0.4114357152955098,0.3501744623194636,1.8055e-16,0.09,1.7645e-16,0.433,1.0232360442051573,0.4422544516452039,1.12016676,0.9134676020962783,0.45198881623332227,0.9167405140228068,-0.35701617594779966,0.6254422435365234,true
kvp_high_fixedfiltration,kvp_accuracy,Q150,F50_8x10_SSD50,finite_7p5mm,fixed_nominal_filtration,150.375,0.8,20.0,0.20761471163921214,0.7313608689489041,0.3238503359264788,1.7971e-16,0.088,1.6933e-16,0.438,1.0613004192995925,0.446752728027485,1.12016676,0.9474485917610985,0.4563911589853598,0.9432627209279779,0.44376510809231995,0.631803767003648,true
kvp_high_fixedfiltration,kvp_accuracy,Q200,F50_8x10_SSD50,finite_7p5mm,fixed_nominal_filtration,200.5,0.8,20.0,0.0,1.4597369091769938,0.5328449846414562,2.021e-16,0.085,1.8784e-16,0.426,1.0759156729131174,0.4343972836010833,1.12016676,0.9604959826812905,0.4443038262270538,0.9574637654570874,0.31669263460383235,0.6136375151504347,true
